Company,alt_name,NewsID,Year,Circ,City,State
belvidere daily republican,,740,1999,H,belvidere,il
benton evening news,,741,2004,H,benton,il
canton daily ledger,,744,2009,G,canton,il
carmi times,,745,2008,H,carmi,il
centralia morning sentinel,,747,2000,F,centralia,il
the news-gazette,,749,1994,E,champaign,il
clinton daily journal,,752,1999,H,clinton,il
herald & review,,753,1999,E,decatur,il
the daily chronicle,,754,1997,F,dekalb,il
the telegraph,,756,1997,F,dixon,il
duquoin evening call,,757,2007,H,duquoin,il
the edwardsville intelligencer,,759,1998,G,edwardsville,il
effingham daily news,,760,1998,F,effingham,il
eldorado daily journal,,761,1998,H,eldorado,il
the journal standard,,765,2009,F,freeport,il
harrisburg daily register/eldorado daily journal,,766,2009,G,harrisburg,il
jacksonville journal-courier,,767,1998,F,jacksonville,il
the herald news,,769,2004,E,joliet,il
star courier,,770,2008,H,kewanee,il
newstribune,,771,2001,F,lasalle,il
daily record,,772,1998,H,lawrenceville,il
the courier,,773,1994,G,lincoln,il
news-herald,,774,1998,G,litchfield,il
the macomb journal,,775,1999,G,macomb,il
daily review atlas,,776,1998,H,monmouth,il
morris daily herald,,777,1998,G,morris,il
daily republican register,,778,1998,H,mount carmel,il
register-news,,780,2000,F,mount vernon,il
the olney daily mail,,781,2008,H,olney,il
the times,,782,2006,F,ottawa,il
the paris beacon-news,,784,1998,G,paris,il
paxton record,,785,2010,H,paxton,il
pekin daily times,,786,2009,F,pekin,il
daily leader,,787,2007,H,pontiac,il
robinson daily news,,788,2002,G,robinson,il
rockford register star,,789,1997,D,rockford,il
shelbyville daily union,,792,2003,H,shelbyville,il
daily gazette and telegraph,,793,2001,F,sterling,il
streator times-press,,794,1998,G,streator,il
the taylorville daily breeze-courier,,795,2007,G,taylorville,il
iroquois county's times-republic,,796,1994,H,watseka,il
daily american,,797,2010,H,west frankfort,il
the herald bulletin,,801,1997,E,anderson,in
times-mail,,803,1999,F,bedford,in
the knox county daily news,,806,1996,H,bicknell,in
the evening world,,807,2001,H,bloomfield,in
the herald-times,,808,1994,E,bloomington,in
news-banner,,809,2007,G,bluffton,in
the brazil times,,810,1998,G,brazil,in
chesterton tribune,,811,1998,G,chesterton,in
the daily clintonian,,812,1994,G,clinton,in
